source_id,role,block,track,tier,path,in_repo,provider,period_basis,years_covered,unit_declared,status,blocking,notes
creel_pe,trips,PugetSound|WACoast,A+B,P1,analysis/outputs/multi_fishery_creel_trips.csv,TRUE,"WDFW creel program (multi_fishery_creel_summary.R, merged effort+harvest)",calendar,2022-2025,angler-hours,current,FALSE,"Output of the MERGED multi_fishery_creel_summary.R, which supersedes multi_fishery_trip_summary.R. 49 fisheries, 2022-2025, all rows expand cleanly (0 fisheries with NA trips as of the 2026-08-14 run; the earlier Nisqually/Puyallup expansion failures are resolved via the [S4] trip-length donor hierarchy). TWO TRAPS: (1) the file STACKS pe_period week AND month - every stratum appears twice; summing without filtering doubles trips (1,881,197 vs correct ~954,177 at month). (2) crc_area was renamed catch_area_code. Carries trip_expansion / trip_length_source / n_donor_obs / prev_int_status / study_design provenance columns."
creel_pe_manual,trips,PugetSound|ColumbiaTrib,A+B,P1,fishery_analyses/**/outputs/export_tables/,TRUE,WDFW creel program (manual runs 2026-08-13),calendar,2022-2025,angler-hours,superseded,FALSE,"Superseded 2026-08-14: Drano, Nisqually 22-23, and Puyallup/Carbon all now expand cleanly in multi_fishery_creel_trips.csv, so the manual fishery_analyses/ runs no longer need separate integration. Retained as the provenance record of those runs."
creel_ledger,qa,ALL,A,-,analysis/outputs/multi_fishery_creel_run_ledger.csv,TRUE,WDFW creel program,-,2022-2025,-,current,FALSE,"98 rows, all status=ok as of the 2026-08-14 run. No errors or skips remaining."
R3_external,trips,ColumbiaTrib,A+B(loc only),P1,analysis/outputs/mid_columbia_yakima_creel_summary.csv,TRUE,WDFW Region 3 / Todd Miller (R-district weekly summary),calendar,2022-2025,angler-hours,current,FALSE,"Hanford Reach / Yakima / McNary. Named for the source rather than a person: this is R3's own spreadsheet-based effort expansion, not a design-based PE run through this repo's estimators, and has not been independently vetted by WDFW HQ - treat as a distinct, less-scrutinized tier of P1 within the provenance ledger. No guided field anywhere - structural gap. DEFECT: 'Hanford Reach fall Chinook 2025' rows carry year=2024."
Creel_Interviews_Output_xlsx,reference,ColumbiaTrib,-,-,input_files/pst/external/Creel_Interviews_Output_2022-2025_MidColumbiaYakimaInterviews.xlsx,TRUE,WDFW Region 3 / Todd Miller (raw interview export),calendar,2022-2025,interview counts,reference_only,FALSE,"721c8b1. Attempted to replace this with a standardized fishery_lut()/fetch_data() pull (2026-08-14); a diagnostic sweep across fishery_name, project_name, and water_body - including a direct fishery_lut() re-query - found zero matching rows, so Hanford Reach/Yakima/McNary aren't reachable through the standard per-fishery loop under any field checked. Abandoned as not worth chasing further: neither Track A location (comes from R3_external's own angler_final) nor Track B mode (trip_guided isn't collected at all, a structural gap independent of the pull) depends on this data. Kept in the repo for reference only, not read by interview_proportions.qmd."
interview_prop,mode_location_props,PugetSound|WACoast,B,-,analysis/interview_proportions.qmd,TRUE,"WDFW creel interviews (internal DB, single standardized pull)",calendar,2022-2025,interview counts,needs_move,FALSE,"Currently misfiled under input_files/. Track B engine: guided x bank/boat post-stratification, assumptions A1-A4. Does NOT cover ColumbiaTrib (Hanford Reach/Yakima/McNary) - attempted and abandoned, see Creel_Interviews_Output_xlsx row. R3_external rivers deliver mode='unknown' by design (mode_basis='not_collected' in pst_fw_effort_assembly.R); location for those rivers comes directly from R3_external's own trip data, not from this document. all_interviews is persisted to analysis/outputs/all_interviews.{csv,rds} in addition to the .cache/ copy used to skip re-pulling on render."
crc_harvest,harvest_denominator,ALL,A(P2),P2,analysis/outputs/crc_freshwater_harvest_2021_2024_tidy.csv,TRUE,Heidi / WDFW Harvest Data Team,license-year,2021-2024,fish,current,FALSE,"CRC-expanded, no creel substitution. 2025 not published - drives the 2025 gap."
crc_area_lut,crosswalk,ALL,A+B,-,input_files/crc_area_lut.csv,TRUE,WDFW,-,-,-,current,FALSE,233 areas; block assignment derives from catch_area_region.
crc_coverage_map,coverage_status,ALL,-,-,input_files/pst/crc_areas_creeled.csv,FALSE,evanbooher/crc_mapping,-,-,-,needs_vendoring,FALSE,77 CRC areas with creel. Drives the tier assignment and the deliverable coverage figure.
odfw_buoy10,trips,ColumbiaMainstem,-,-,input_files/pst/external/Buoy_10_Angler_Trips_by_Mode_and_Catch_20222025.xlsx,FALSE,ODFW (transmitted to WDFW by Northern Economics),calendar,2022-2025,angler trips,out_of_scope,FALSE,Consultant already has this - do not redeliver. Not ingested by the assembly script. Kept in the repo only if useful for internal QC against creel-derived Columbia numbers.
