fishery_name,study_design,n_interviews,trip_status_values,has_Complete,prev_int_all_na,n_pass_filter,n_crc_area_na,n_angler_fail,likely_cause
Drano Lake salmon and steelhead 2022,Drano,931,Complete | Incomplete | NA,TRUE,FALSE,612,0,0,"H5 data present -- gap is real, month-specific"
Drano Lake salmon and steelhead 2023,Drano,997,Complete | Incomplete | NA,TRUE,FALSE,794,0,0,"H5 data present -- gap is real, month-specific"
Drano Lake salmon and steelhead 2024,Drano,1024,Complete | Incomplete | NA,TRUE,FALSE,862,0,5,H4 angler_final = fail
Drano Lake salmon and steelhead 2025,Drano,983,Complete | Incomplete | NA,TRUE,FALSE,736,0,0,"H5 data present -- gap is real, month-specific"
Nisqually salmon 2022,Standard,2370,Complete,TRUE,TRUE,0,0,0,H2 previously_interviewed all NA
Nisqually salmon 2023,Standard,2139,Complete,TRUE,TRUE,0,0,0,H2 previously_interviewed all NA
Puyallup Carbon salmon 2024,Standard,2151,Complete,TRUE,TRUE,0,0,1,H2 previously_interviewed all NA
Puyallup Carbon salmon 2025,Standard,2413,Complete,TRUE,TRUE,0,0,0,H2 previously_interviewed all NA
Puyallup_Carbon salmon 2022,Standard,2068,Complete,TRUE,TRUE,0,0,0,H2 previously_interviewed all NA
Puyallup_Carbon salmon 2023,Standard,2853,Complete,TRUE,TRUE,0,0,53,H2 previously_interviewed all NA
